Station,Lat,Long,X,Y
24,37.69833333,-122.3383333,639,1657
25,37.67,-122.325,691,1783
26,37.635,-122.3133333,738,1915
27,37.61833333,-122.2916667,820,1978
20,37.82,-122.3933333,458,1222
21,37.78833333,-122.3583333,584,1330
22,37.765,-122.3583333,570,1420
23,37.72833333,-122.3366667,680,1560
28,37.60166667,-122.27,920,2040
29,37.58,-122.245,1000,2100
657,38.14833333,-121.6883333,3060,6
3,38.05,-121.8783333,2360,370
2,38.06333333,-121.855,2445,315
5,38.06,-121.98,1980,325
4,38.04833333,-121.935,2155,369
7,38.04833333,-122.0966667,1556,368
6,38.065,-122.035,1782,309
9,38.05,-122.1733333,1269,368
8,38.03,-122.1516667,1352,432
653,38.105,-121.72,2947,162
11,38.06166667,-122.2633333,936,318
10,38.06,-122.2083333,1135,325
13,38.02833333,-122.37,548,458
12,38.05166667,-122.3116667,787,368
15,37.975,-122.4366667,288,647
14,38.00666667,-122.405,408,537
17,37.88166667,-122.4266667,329,979
16,37.915,-122.4466667,218,864
33,37.50833333,-122.1216667,1457,2376
18,37.84666667,-122.4216667,341,1124
31,37.52833333,-122.1583333,1312,2296
30,37.555,-122.19,1197,2208
36,37.47166667,-122.065,1647,2497
35,37.48,-122.08,1595,2484
34,37.495,-122.0933333,2558,2422
32,37.51833333,-122.1333333,1422,2336
649,38.06166667,-121.8,2651,322
